Ranking per year,Released,Title,Source,"Production
Budget","Opening Weekend
Revenue","Domestic
Box Office","Infl. Adj. Dom.
Box Office","International
Box Office","Worldwide
Box Office"
87,"Oct 5, 2001",Joy Ride,Original Screenplay,"$23,000,000","$7,347,259","$21,973,182","$35,366,724",$0,"$21,973,182"
88,"Jan 19, 2001",The Pledge,Based on Fiction Book/Short Story,"$45,000,000","$5,765,347","$19,719,930","$31,740,023","$9,686,202","$29,406,132"
89,"Aug 24, 2001",Summer Catch,Original Screenplay,"$17,000,000","$7,018,593","$19,693,891","$31,698,117",$0,"$19,693,891"
90,"Feb 9, 2001",Saving Silverman,Original Screenplay,"$22,000,000","$7,411,852","$19,351,569","$31,147,136","$6,521,573","$25,873,142"
91,"Oct 19, 2001",The Last Castle,Original Screenplay,"$60,000,000","$7,088,213","$18,208,078","$29,306,633","$2,333,590","$20,541,668"
92,"Sep 14, 2001",The Glass House,Original Screenplay,"$22,000,000","$5,738,448","$17,951,431","$28,893,549","$4,910,354","$22,861,785"
93,"Sep 7, 2001",Rock Star,Original Screenplay,"$38,000,000","$6,018,636","$16,991,902","$27,349,149","$2,325,863","$19,317,765"
94,"Aug 3, 2001",Original Sin,Based on Fiction Book/Short Story,"$26,000,000","$6,402,741","$16,521,410","$26,591,880",$0,"$16,521,410"
95,"Feb 23, 2001",3000 Miles to Graceland,Original Screenplay,"$62,000,000","$7,160,521","$15,738,632","$25,331,967","$2,970,216","$18,708,848"
96,"Oct 26, 2001",Life as a House,Original Screenplay,"$18,000,000","$294,056","$15,652,637","$25,193,550","$8,236,521","$23,889,158"
97,"Apr 11, 2001",Josie and the Pussycats,Based on TV,"$22,000,000","$4,562,455","$14,252,830","$22,940,501",$0,"$14,252,830"
98,"Apr 20, 2001",Freddy Got Fingered,Original Screenplay,"$15,000,000","$7,098,459","$14,249,005","$22,934,352",$0,"$14,249,005"
99,"Aug 10, 2001",Osmosis Jones,Original Screenplay,"$70,000,000","$5,271,248","$13,596,911","$21,884,780",$0,"$13,596,911"
100,"Mar 30, 2001",The Tailor of Panama,Based on Fiction Book/Short Story,"$18,000,000","$1,837,068","$13,491,653","$21,715,361","$14,000,000","$27,491,653"
1,"May 3, 2002",Spider-Man,Based on Comic/Graphic Novel,"$139,000,000","$114,844,116","$407,677,927","$639,233,368","$418,000,000","$825,677,927"
2,"Dec 18, 2002",The Lord of the Rings: The Two Towers,Based on Fiction Book/Short Story,"$94,000,000","$62,007,528","$342,548,984","$532,244,571","$585,049,265","$927,598,249"
3,"May 16, 2002",Star Wars Ep. II: Attack of the Clones,Original Screenplay,"$115,000,000","$80,027,814","$310,676,740","$487,136,844","$346,018,875","$656,695,615"
4,"Nov 15, 2002",Harry Potter and the Chamber of Secrets,Based on Fiction Book/Short Story,"$100,000,000","$88,357,488","$262,233,381","$410,227,600","$616,991,754","$879,225,135"
5,"Aug 2, 2002",Signs,Original Screenplay,"$70,702,619","$60,116,619","$227,969,295","$357,440,160","$180,300,000","$408,269,295"
6,"Jul 25, 2002",Austin Powers in Goldmember,Original Screenplay,"$63,000,000","$73,071,188","$213,117,789","$334,165,750","$83,220,874","$296,338,663"
7,"Jul 3, 2002",Men in Black 2,Based on Comic/Graphic Novel,"$140,000,000","$52,148,751","$190,418,803","$298,574,055","$251,349,000","$441,767,803"
8,"Mar 15, 2002",Ice Age,Original Screenplay,"$65,000,000","$46,312,454","$176,387,405","$276,573,013","$209,728,938","$386,116,343"
9,"Dec 27, 2002",Chicago,Based on Musical or Opera,"$30,000,000","$2,074,929","$170,687,518","$258,399,866","$136,083,027","$306,770,545"
10,"Dec 25, 2002",Catch Me if You Can,Based on Factual Book/Article,"$52,000,000","$30,082,000","$164,606,800","$254,258,652","$191,005,491","$355,612,291"
11,"Nov 22, 2002",Die Another Day,Based on Fiction Book/Short Story,"$142,000,000","$47,072,040","$160,942,139","$251,944,803","$271,000,000","$431,942,139"
12,"Jun 14, 2002",Scooby-Doo,Based on TV,"$84,000,000","$54,155,312","$153,294,164","$240,363,132","$123,000,000","$276,294,164"
13,"Jun 21, 2002",Lilo & Stitch,Original Screenplay,"$80,000,000","$35,260,212","$145,771,527","$228,567,741","$100,028,473","$245,800,000"
14,"Aug 9, 2002",xXx,Original Screenplay,"$70,000,000","$44,506,103","$141,930,000","$222,544,282","$125,270,000","$267,200,000"
15,"Nov 1, 2002",The Santa Clause 2,Original Screenplay,"$65,000,000","$29,008,696","$139,225,854","$218,249,983","$33,600,000","$172,825,854"
16,"Jun 21, 2002",Minority Report,Based on Fiction Book/Short Story,"$102,000,000","$35,677,125","$132,024,714","$207,012,925","$226,800,000","$358,824,714"
17,"Oct 18, 2002",The Ring,Remake,"$48,000,000","$15,015,393","$129,094,024","$202,311,026","$119,124,462","$248,218,486"
18,"Sep 27, 2002",Sweet Home Alabama,Original Screenplay,"$38,000,000","$35,648,740","$127,214,072","$199,405,419","$55,151,042","$182,365,114"
19,"Jun 28, 2002",Mr. Deeds,Based on Fiction Book/Short Story,"$50,000,000","$37,162,787","$126,293,452","$198,026,393","$44,976,083","$171,269,535"
20,"Jun 14, 2002",The Bourne Identity,Based on Fiction Book/Short Story,"$60,000,000","$27,118,640","$121,468,960","$190,461,649","$92,888,411","$214,357,371"
21,"May 31, 2002",The Sum of All Fears,Based on Fiction Book/Short Story,"$68,000,000","$31,178,526","$118,471,320","$185,761,391","$75,028,680","$193,500,000"
22,"Nov 8, 2002",8 Mile,Original Screenplay,"$41,000,000","$51,240,555","$116,724,075","$182,938,566","$129,044,309","$245,768,384"
23,"Jul 12, 2002",Road to Perdition,Based on Comic/Graphic Novel,"$80,000,000","$22,079,481","$104,054,514","$163,156,037","$79,300,000","$183,354,514"
24,"Mar 29, 2002",Panic Room,Original Screenplay,"$48,000,000","$30,056,751","$95,308,367","$149,442,198","$101,000,000","$196,308,367"
25,"Dec 13, 2002",Maid in Manhattan,Original Screenplay,"$55,000,000","$18,711,407","$93,932,896","$146,278,386","$69,905,321","$163,838,217"
26,"Dec 20, 2002",Two Weeks Notice,Original Screenplay,"$60,000,000","$14,328,494","$93,354,918","$144,975,092","$105,688,391","$199,043,309"
27,"Oct 4, 2002",Red Dragon,Based on Fiction Book/Short Story,"$78,000,000","$36,540,945","$92,955,420","$145,752,812","$113,500,000","$206,455,420"
28,"Apr 19, 2002",The Scorpion King,Spin-Off,"$60,000,000","$36,075,875","$90,580,000","$142,028,189","$75,310,634","$165,890,634"
29,"Aug 7, 2002",Spy Kids 2: The Island of Lost Dreams,Original Screenplay,"$38,000,000","$16,711,716","$85,846,296","$134,590,019","$33,875,000","$119,721,296"
30,"Mar 22, 2002",Blade 2,Based on Comic/Graphic Novel,"$54,000,000","$32,528,016","$81,676,888","$128,068,234","$72,661,713","$154,338,601"
31,"Jan 18, 2002",Snow Dogs,Based on Fiction Book/Short Story,"$32,000,000","$17,814,259","$81,150,692","$127,243,160","$35,747,336","$116,898,028"
32,"Mar 1, 2002",We Were Soldiers,Based on Fiction Book/Short Story,"$70,000,000","$20,212,543","$78,120,196","$122,491,384","$36,538,066","$114,658,262"
33,"Dec 20, 2002",Gangs of New York,Original Screenplay,"$97,000,000","$9,496,870","$77,730,500","$120,127,047","$105,394,121","$183,124,621"
34,"Mar 29, 2002",The Rookie,Original Screenplay,"$22,000,000","$16,021,684","$75,600,072","$118,539,867","$4,891,444","$80,491,516"
35,"May 24, 2002",Spirit: Stallion of the Cimarron,Original Screenplay,"$80,000,000","$17,770,036","$73,215,310","$114,800,594","$33,300,000","$106,515,310"
36,"Feb 15, 2002",John Q,Original Screenplay,"$36,000,000","$20,275,194","$71,026,631","$111,368,775","$31,200,000","$102,226,631"
37,"Jun 7, 2002",The Divine Secrets of the Ya-Ya Siste…,Based on Fiction Book/Short Story,"$27,000,000","$16,167,412","$69,586,544","$109,110,734","$4,240,224","$73,826,768"
38,"May 24, 2002",Insomnia,Remake,"$46,000,000","$20,930,169","$67,263,182","$105,467,736","$46,359,317","$113,622,499"
39,"Apr 12, 2002",Changing Lanes,Original Screenplay,"$45,000,000","$17,128,062","$66,790,248","$104,726,182",$0,"$66,790,248"
40,"Dec 13, 2002",About Schmidt,Based on Fiction Book/Short Story,"$30,000,000","$282,367","$65,005,217","$98,896,648","$42,049,267","$107,054,484"
41,"Jul 19, 2002",Stuart Little 2,Based on Fiction Book/Short Story,"$120,000,000","$15,115,152","$64,956,806","$101,851,376","$101,043,194","$166,000,000"
42,"Mar 8, 2002",The Time Machine,Based on Fiction Book/Short Story,"$80,000,000","$22,610,437","$56,684,819","$88,881,014","$42,298,771","$98,983,590"
43,"Dec 13, 2002",Drumline,Original Screenplay,"$20,000,000","$12,604,705","$56,398,162","$87,924,737",$0,"$56,398,162"
44,"Jan 25, 2002",The Count of Monte Cristo,Based on Fiction Book/Short Story,"$40,000,000","$11,376,150","$54,228,104","$85,028,914","$21,160,986","$75,389,090"
45,"May 8, 2002",Unfaithful,Remake,"$50,000,000","$14,065,277","$52,752,475","$82,715,147","$66,362,019","$119,114,494"
46,"Jul 3, 2002",Like Mike,Original Screenplay,"$30,000,000","$12,179,420","$51,432,423","$80,645,328","$11,000,000","$62,432,423"
47,"Sep 27, 2002",The Tuxedo,Original Screenplay,"$60,000,000","$15,051,028","$50,586,000","$79,295,435","$53,843,625","$104,429,625"
48,"Feb 15, 2002",Peter Pan: Return to Neverland,Based on Play,"$20,000,000","$11,889,631","$48,430,258","$75,937,972","$61,432,424","$109,862,682"
49,"Feb 8, 2002",Big Fat Liar,Original Screenplay,"$15,000,000","$11,554,015","$47,811,275","$74,967,420","$4,649,742","$52,461,017"
50,"Dec 13, 2002",Star Trek: Nemesis,Based on TV,"$60,000,000","$18,513,305","$43,254,409","$67,626,163","$24,058,417","$67,312,826"
51,"Feb 19, 2002",Reign of Fire,Original Screenplay,"$60,000,000","$15,632,281","$43,061,982","$67,520,587","$39,088,201","$82,150,183"
52,"Dec 27, 2002",The Hours,Based on Fiction Book/Short Story,"$25,000,000","$338,622","$41,675,994","$63,028,956","$55,354,474","$97,030,468"
53,"Apr 5, 2002",High Crimes,Based on Fiction Book/Short Story,"$42,000,000","$14,005,550","$41,543,207","$65,139,169","$22,237,893","$63,781,100"
54,"Jan 11, 2002",Orange County,Original Screenplay,"$18,000,000","$15,053,226","$41,059,716","$64,381,062","$2,248,991","$43,308,707"
55,"Jun 14, 2002",Windtalkers,Original Screenplay,"$115,000,000","$14,520,412","$40,914,068","$64,152,693","$36,714,197","$77,628,265"
56,"May 17, 2002",About a Boy,Based on Fiction Book/Short Story,"$27,000,000","$8,557,630","$40,803,000","$63,978,537","$89,956,651","$130,759,651"
57,"Aug 2, 2002",The Master of Disguise,Original Screenplay,"$16,000,000","$12,554,650","$40,363,530","$63,289,457",$0,"$40,363,530"
58,"Mar 15, 2002",Resident Evil,Based on Game,"$35,000,000","$17,707,106","$40,119,709","$62,907,146","$63,667,692","$103,787,401"
59,"Aug 16, 2002",Blue Crush,Based on Factual Book/Article,"$30,000,000","$14,169,455","$40,118,420","$62,905,124","$11,500,000","$51,618,420"
60,"Dec 20, 2002",The Wild Thornberrys Movie,Based on TV,"$25,000,000","$6,013,847","$40,108,697","$62,411,854","$20,586,040","$60,694,737"
61,"Feb 8, 2002",Collateral Damage,Original Screenplay,"$85,000,000","$15,058,432","$40,048,332","$62,795,230","$38,305,176","$78,353,508"
62,"May 24, 2002",Enough,Original Screenplay,"$38,000,000","$14,009,653","$39,177,215","$61,429,331","$11,793,445","$50,970,660"
63,"May 31, 2002",Undercover Brother,Original Screenplay,"$25,000,000","$12,037,685","$38,230,435","$59,944,793","$2,565,710","$40,796,145"
64,"Nov 27, 2002",Treasure Planet,Based on Fiction Book/Short Story,"$100,000,000","$12,083,248","$38,120,554","$59,640,938","$53,679,446","$91,800,000"
65,"Mar 15, 2002",Showtime,Original Screenplay,"$85,000,000","$15,011,430","$37,948,765","$59,503,140","$41,000,000","$78,948,765"
66,"Mar 1, 2002",40 Days and 40 Nights,Original Screenplay,"$17,000,000","$12,229,529","$37,939,782","$59,489,047","$57,152,885","$95,092,667"
67,"Mar 29, 2002",Clockstoppers,Original Screenplay,"$26,000,000","$10,108,333","$36,985,501","$57,992,748","$1,803,327","$38,788,828"
68,"Jan 25, 2002",The Mothman Prophecies,Based on Fiction Book/Short Story,"$42,000,000","$11,208,851","$35,228,696","$55,238,102","$21,209,859","$56,438,555"
69,"Jul 19, 2002",K-19: The Widowmaker,Based on Fiction Book/Short Story,"$90,000,000","$12,778,459","$35,168,966","$55,144,452","$30,547,160","$65,716,126"
70,"Nov 1, 2002",I Spy,Based on TV,"$70,000,000","$12,752,803","$33,561,137","$52,597,332","$26,718,685","$60,279,822"
71,"Dec 27, 2002",The Pianist,Based on Real Life Events,"$35,000,000","$111,261","$32,519,322","$49,186,748","$79,334,860","$111,854,182"
72,"Dec 6, 2002",Analyze That,Original Screenplay,"$60,000,000","$11,034,422","$32,122,249","$50,290,316","$22,872,508","$54,994,757"
73,"Apr 19, 2002",Murder by Numbers,Original Screenplay,"$50,000,000","$9,307,394","$31,874,869","$49,979,355","$24,768,398","$56,643,267"
74,"Feb 22, 2002",Queen of the Damned,Based on Fiction Book/Short Story,"$35,000,000","$14,757,535","$30,307,804","$47,522,215",$0,"$30,307,804"
75,"Jul 12, 2002",Halloween: Resurrection,,"$15,000,000","$12,292,121","$30,259,652","$47,446,711","$7,400,000","$37,659,652"
76,"Jun 7, 2002",Bad Company,Original Screenplay,"$70,000,000","$11,007,367","$30,157,016","$47,285,783","$39,000,000","$69,157,016"
77,"Oct 25, 2002",Ghost Ship,Original Screenplay,"$20,000,000","$11,503,423","$30,113,491","$47,204,139","$38,236,393","$68,349,884"
78,"Feb 22, 2002",Dragonfly,Original Screenplay,"$60,000,000","$10,216,025","$30,063,805","$47,139,631",$0,"$30,063,805"
79,"Aug 9, 2002",Blood Work,Based on Fiction Book/Short Story,"$50,000,000","$7,312,413","$26,199,517","$41,080,479",$0,"$26,199,517"
80,"Oct 11, 2002",The Transporter,Original Screenplay,"$21,000,000","$9,107,816","$25,296,447","$39,663,756","$18,632,485","$43,928,932"
81,"Apr 12, 2002",The Sweetest Thing,Original Screenplay,"$43,000,000","$9,430,667","$24,430,272","$38,306,329","$38,648,484","$63,078,756"
82,"Dec 6, 2002",Adaptation,Based on Fiction Book/Short Story,"$18,500,000","$384,478","$22,498,520","$34,339,270","$10,033,239","$32,531,759"
83,"Sep 6, 2002",City by the Sea,Based on Factual Book/Article,"$40,000,000","$8,935,426","$22,433,915","$35,176,069",$0,"$22,433,915"
84,"Oct 11, 2002",Tuck Everlasting,Based on Fiction Book/Short Story,"$15,000,000","$5,268,764","$19,161,999","$30,031,616","$182,616","$19,344,615"
85,"Feb 15, 2002",Hart's War,Based on Fiction Book/Short Story,"$70,000,000","$7,771,753","$19,076,815","$29,912,175","$14,000,000","$33,076,815"
86,"Feb 8, 2002",Rollerball,Remake,"$70,000,000","$9,013,548","$18,990,542","$29,776,900","$6,861,966","$25,852,508"
87,"Sep 20, 2002",The Four Feathers,Based on Fiction Book/Short Story,"$35,000,000","$6,857,879","$18,306,166","$28,703,815","$11,576,479","$29,882,645"
88,"Oct 11, 2002",Punch-Drunk Love,Original Screenplay,"$25,000,000","$367,203","$17,791,031","$27,896,086","$6,800,000","$24,591,031"
89,"Jul 17, 2002",Eight Legged Freaks,Original Screenplay,"$30,000,000","$6,485,458","$17,266,505","$27,073,635","$19,455,806","$36,722,311"
90,"Jul 26, 2002",The Country Bears,Based on Theme Park Ride,"$20,000,000","$5,309,675","$16,988,996","$26,638,505",$0,"$16,988,996"
91,"Aug 23, 2002",Serving Sara,Original Screenplay,"$29,000,000","$5,758,236","$16,930,185","$26,546,294","$3,215,965","$20,146,150"
92,"Oct 11, 2002",White Oleander,Based on Fiction Book/Short Story,"$16,000,000","$5,607,480","$16,357,770","$25,648,750","$5,300,000","$21,657,770"
93,"Dec 31, 2002",Confessions of a Dangerous Mind,Based on Fiction Book/Short Story,"$29,000,000","$87,199","$16,007,718","$24,194,065","$17,006,087","$33,013,805"
94,"Nov 15, 2002",Half Past Dead,Original Screenplay,"$25,000,000","$7,820,536","$15,567,860","$24,399,149","$3,665,420","$19,233,280"
95,"Nov 27, 2002",Solaris,Remake,"$47,000,000","$6,752,722","$14,970,038","$23,466,750",$0,"$14,970,038"
96,"Apr 26, 2002","Life, or Something Like It",Original Screenplay,"$40,000,000","$6,219,234","$14,448,589","$22,655,185",$0,"$14,448,589"
97,"Sep 20, 2002",Ballistic: Ecks vs. Sever,Original Screenplay,"$70,000,000","$7,010,474","$14,294,842","$22,414,107",$0,"$14,294,842"
98,"Sep 13, 2002",Stealing Harvard,Original Screenplay,"$25,000,000","$6,041,521","$13,973,532","$21,910,297",$0,"$13,973,532"
99,"Jun 21, 2002",Juwanna Mann,Original Screenplay,"$15,600,000","$5,474,270","$13,571,817","$21,280,413","$200,000","$13,771,817"
100,"Aug 30, 2002",FearDotCom,Original Screenplay,"$40,000,000","$5,710,128","$13,208,023","$20,709,991",$0,"$13,208,023"
1,"May 30, 2003",Finding Nemo,Original Screenplay,"$94,000,000","$70,251,710","$380,529,370","$559,944,647","$555,900,000","$936,429,370"
2,"Dec 17, 2003",The Lord of the Rings: The Return of …,Based on Fiction Book/Short Story,"$94,000,000","$72,629,713","$377,845,905","$566,753,142","$742,578,709","$1,120,424,614"
3,"Jul 9, 2003",Pirates of the Caribbean: The Curse o…,Based on Theme Park Ride,"$140,000,000","$46,630,690","$305,410,819","$461,408,382","$348,900,000","$654,310,819"
4,"May 15, 2003",The Matrix Reloaded,Original Screenplay,"$150,000,000","$91,774,413","$281,553,689","$425,365,523","$457,023,240","$738,576,929"
5,"May 23, 2003",Bruce Almighty,Original Screenplay,"$81,000,000","$67,953,330","$242,704,995","$366,673,710","$241,763,613","$484,468,608"
6,"May 2, 2003",X-Men 2,Based on Comic/Graphic Novel,"$125,000,000","$85,558,731","$214,949,694","$324,741,574","$191,925,842","$406,875,536"
7,"Nov 7, 2003",Elf,Original Screenplay,"$32,000,000","$31,113,501","$174,626,840","$261,854,770","$46,837,892","$221,464,732"
8,"Jul 1, 2003",Terminator 3: Rise of the Machines,Original Screenplay,"$170,000,000","$44,041,440","$150,358,296","$227,158,214","$282,700,000","$433,058,296"
9,"Nov 5, 2003",The Matrix Revolutions,Original Screenplay,"$150,000,000","$48,475,154","$139,270,910","$210,364,859","$288,029,350","$427,300,260"
10,"Dec 25, 2003",Cheaper by the Dozen,Remake,"$40,000,000","$27,557,647","$138,614,544","$207,095,325","$51,597,569","$190,212,113"
11,"Jul 18, 2003",Bad Boys II,Original Screenplay,"$130,000,000","$46,522,560","$138,540,870","$209,304,691","$134,731,112","$273,271,982"
12,"Apr 11, 2003",Anger Management,Original Screenplay,"$56,000,000","$42,220,847","$135,560,942","$204,802,675","$60,100,000","$195,660,942"
13,"Mar 7, 2003",Bringing Down the House,Original Screenplay,"$20,000,000","$31,101,026","$132,675,402","$200,443,267","$32,000,000","$164,675,402"
14,"Jun 20, 2003",Hulk,Based on Comic/Graphic Novel,"$137,000,000","$62,128,420","$132,177,234","$199,690,644","$112,898,200","$245,075,434"
15,"Jun 6, 2003",2 Fast 2 Furious,Based on Factual Book/Article,"$76,000,000","$50,472,480","$127,120,058","$192,050,361","$109,290,549","$236,410,607"
16,"Dec 12, 2003",Something's Gotta Give,Original Screenplay,"$80,000,000","$16,064,723","$124,685,242","$186,468,153","$142,000,000","$266,685,242"
17,"Jul 25, 2003",Seabiscuit,Based on Fiction Book/Short Story,"$86,000,000","$20,854,735","$120,277,854","$181,713,307","$28,437,488","$148,715,342"
18,"Aug 8, 2003",S.W.A.T.,Based on TV,"$70,000,000","$37,062,535","$116,877,597","$176,576,269","$90,277,151","$207,154,748"
19,"Jul 25, 2003",Spy Kids 3-D: Game Over,Original Screenplay,"$40,000,000","$33,417,739","$111,760,631","$168,842,062","$56,091,364","$167,851,995"
20,"Dec 5, 2003",The Last Samurai,Original Screenplay,"$140,000,000","$24,271,354","$111,110,575","$166,939,875","$345,700,000","$456,810,575"
21,"Aug 6, 2003",Freaky Friday,Remake,"$26,000,000","$22,203,007","$110,222,438","$166,519,950","$50,600,000","$160,822,438"
